Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)袋井-7,袋井市湊字高田784番4,,300,"19,000",-8.2,農地の中に一般住宅、農家住宅が混在する住宅地域,-52746,-146606
(県)袋井-8,袋井市諸井字山田1357番7,,214,"35,600",-0.8,一般住宅のほか空地も見られる住宅地域,-52918.32558,-141542.4747
(県)袋井5-1,袋井市栄町14番4,,165,"64,000",-2.0,小規模な小売店舗が多い商業地域,-53016.51144,-139241.4317
(県)袋井5-2,袋井市上山梨字金屋敷814番3外,,165,"49,500",-0.4,小売店舗が多い県道沿いの商業地域,-54336,-134017
(県)袋井5-3,袋井市諸井字東田1202番1,,361,"39,600",-1.5,小売店舗、営業所等が建ち並ぶ県道沿いの商業地域,-53106.75739,-141888.4166
(県)袋井9-1,袋井市堀越字長面548番1,,3574,"35,400",-1.7,倉庫、配送センターを主とするインターに近い工業地域,-54427.80062,-138045.8035
(県)下田-1,下田市六丁目748番45,「六丁目38−16」,159,"54,600",-0.4,中小規模の一般住宅が多い高台の住宅地域,39730,-147267
(県)下田-2,下田市六丁目389番15,「六丁目８−６」,104,"58,000",新設,中小規模の一般住宅を中心に店舗等も見られる住宅地域,40115,-146922
(県)下田5-1,下田市一丁目137番4,「一丁目３−９」,78,"95,300",-3.1,中小規模の店舗が建ち並ぶ駅に近い商業地域,40749.4088,-146605.746
(県)裾野-1,裾野市稲荷字稲荷前216番11,,166,"95,800",1.4,一般住宅を主として農地、共同住宅等が介在する住宅地域,38001.98014,-91129.36689
(県)裾野-2,裾野市佐野字大荒句1103番23,,199,"100,000",1.5,一般住宅のほか、共同住宅も見られる住宅地域,36989.4745,-91324.6754
(県)裾野-3,裾野市御宿字箒間1522番13,,165,"75,300",0.0,一般住宅、アパート等が混在する住宅地域,37257.55087,-86680.53832
(県)裾野-4,裾野市伊豆島田字小南816番9外,,272,"101,000",1.0,一般住宅、アパート、空地が混在する土地区画整理済みの住宅地域,36793.34518,-93888.26357
(県)裾野-5,裾野市茶畑字金沢1465番34,,224,"82,500",0.0,一般住宅が建ち並ぶ郊外の住宅地域,38699.98944,-91574.83858
(県)裾野-6,裾野市深良字原3112番32,,197,"64,300",0.0,一般住宅が建ち並ぶ周囲に農地が多い住宅地域,38723.36939,-87476.51373
(県)裾野-7,裾野市石脇字西原621番16,,181,"70,500",0.0,一般住宅等のほかに農地も見られる住宅地域,37698.07275,-88530.82411
