Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)南-6,浜松市南区安松町33番6,,219,"76,200",0.0,中規模住宅が建ち並ぶ区画整然とした住宅地域,-66914.28727,-144510.5197
(県)南-7,浜松市南区小沢渡町字村北542番2,,178,"48,800",-1.8,小規模一般住宅と農家住宅が混在する住宅地域,-74649.65598,-145801.3784
(県)南-8,浜松市南区白羽町字大畑701番,,264,"47,000",0.0,農家住宅、一般住宅、事業所等が混在する既成集落地域,-69718.98179,-146258.7314
(県)南-9,浜松市南区新橋町字村南1850番,,201,"56,300",-2.1,一般住宅のほか店舗等も見られる県道沿いの住宅地域,-73739.17219,-145995.5024
(県)南-10,浜松市南区石原町字籠ﾉ鼻793番2,,246,"54,100",-1.5,一般住宅と農家住宅が混在する住宅地域,-67016.27654,-145481.767
(県)南-11,浜松市南区西島町字横名696番7,,178,"43,000",-7.5,一般住宅が建ち並ぶ郊外の分譲住宅地域,-67564.61034,-147266.4971
(県)南5-1,浜松市南区本郷町字蓮の前452番,,180,"81,500",選定替,店舗、住宅が混在する路線商業地域,-67688,-144566
(県)南9-1,浜松市南区都盛町字西恩地170番1外,,3503,"42,100",-1.2,中小規模の工場が建ち並ぶ工場地域,-68324.92084,-145360.0319
(県)南9-2,浜松市南区飯田町字醴325番3外,,1933,"45,800",-1.5,小規模工場、倉庫、住宅が混在する工業地域,-66208.78787,-142866.687
(県)北-1,浜松市北区細江町中川字桜ヶ丘888番225,,190,"45,500",-0.7,中規模一般住宅が建ち並ぶ分譲住宅地域,-73517,-132222
(県)北-2,浜松市北区細江町気賀字山後1616番35,,200,"37,800",-1.0,中規模一般住宅が建ち並ぶ分譲住宅地域,-77563.77728,-132839.0435
(県)北-3,浜松市北区引佐町井伊谷字町西側568番18,,126,"36,300",-1.9,中小規模の一般住宅が密集する既成の住宅地域,-75589.60149,-129029.26
(県)北-4,浜松市北区引佐町金指字西金指1580番29,,183,"46,000",-1.5,中規模一般住宅が建ち並ぶ住宅地域,-75567.13569,-130787.687
(県)北-5,浜松市北区細江町小野字走落289番9,,329,"28,000",-3.4,中規模一般住宅と農家住宅が混在する住宅地域,-76998.5889,-130616.5641
(県)北-6,浜松市北区三ヶ日町大崎字蒔田102番17外,,530,"41,900",-3.9,別荘、保養所等が建ち並ぶ浜名湖畔沿いの地域,-85225.59537,-135489.2496
(県)北-7,浜松市北区三ヶ日町日比沢字瀬尻582番16外,,663,"18,300",-2.7,農家住宅と畑が混在する国道背後の住宅地域,-88843.30359,-131933.0368
(県)北5-1,浜松市北区細江町気賀字気賀町989番1の内,,218,"57,500",0.0,小売店舗が建ち並ぶ国道沿いの既成商業地域,-77496.08573,-131733.6856
(県)北5-2,浜松市北区引佐町井伊谷字町西側657番4外,,157,"42,200",-1.9,小売店舗が建ち並ぶ県道沿いの古くからの商業地域,-75670.47495,-129133.5838
(県)北5-3,浜松市北区三ヶ日町三ヶ日字汐田914番45,,126,"53,200",-2.4,小売店舗、飲食店、旅館等が建ち並ぶ国道沿いの商業地域,-86793.30578,-132332.2758
(県)北5-4,浜松市北区三方原町2145番1外,,398,"59,900",0.2,店舗、住宅が混在する郊外の国道沿い地域,-72755.07324,-134034.0391
(県)浜北-1,浜松市浜北区西美薗字五本松633番6,,208,"66,500",1.1,一般住宅の中に畑地等が見られる住宅地域,-64548.00778,-133179.7454
(県)浜北-2*,浜松市浜北区小松417番,,233,"74,700",0.3,中規模一般住宅が多い既存の住宅地域,-65995.19988,-134057.9251
(県)浜北-3,浜松市浜北区貴布祢2155番,,264,"80,100",2.0,中規模の住宅が建ち並ぶ区画整理済みの住宅地域,-65194.0215,-133029.4281
(県)浜北-4,浜松市浜北区宮口字町坪589番5外,,222,"47,800",0.0,一般住宅のほか小売店舗が混在する住宅地域,-66660.9761,-129978.4475
(県)浜北-5,浜松市浜北区寺島2933番2外,,294,"51,800",0.0,一般住宅の中に農地等が見られる住宅地域,-64606.30078,-134536.4296
(県)浜北-6,浜松市浜北区根堅字泉2347番1,,359,"41,200",0.0,一般住宅の中に農地等が見られる住宅地域,-64885,-128274
(県)浜北5-1,浜松市浜北区小松字大向4349番11外,,180,"84,300",0.0,小売店舗が建ち並ぶ県道沿いの既成商業地域,-66186.53619,-134556.9866
(県)天竜-1,浜松市天竜区大谷字田島54番13,,203,"38,800",-0.5,一般住宅のほか公営住宅も混在する既成の住宅地域,-62359.40491,-124820.2749
(県)天竜-2,浜松市天竜区春野町堀之内字犬居129番,,350,"10,200",-4.7,一般住宅の中に店舗併用住宅が見られる住宅地域,-55574.29336,-115622.2381
(県)天竜-3,浜松市天竜区春野町石打松下字堀田158番11外,,310,"6,600",-4.3,住宅のほかに店舗等が見られる古くからの住宅地域,-51289.67952,-111079.6744
(県)天竜-4,浜松市天竜区龍山町戸倉字クモリ562番15,,209,"4,100",-2.4,一般住宅、公営住宅等が見られる秋葉湖に近い住宅地域,-61221,-112735
(県)天竜-5,浜松市天竜区龍山町下平山字馬場247番9,,72,"1,470",-3.3,小規模住宅が見られる山腹斜面の農地の多い地域,-60222,-109781
(県)天竜-6,浜松市天竜区佐久間町佐久間2662番1,,165,"10,700",-4.5,小規模一般住宅が建ち並ぶ古くからの住宅地域,-63155,-100482
(県)天竜-7,浜松市天竜区佐久間町奥領家1676番2,,159,"11,900",-4.8,一般住宅と店舗併用住宅が混在する住宅地域,-58179.45744,-95030.04628
(県)天竜-8,浜松市天竜区水窪町奥領家3383番1,,140,"12,300",-5.4,小規模一般住宅が建ち並ぶ既存の住宅地域,-57370.06478,-91825.5192
(県)天竜5-1,浜松市天竜区二俣町鹿島字サビ160番1,,321,"53,000",0.0,小売店舗、飲食店等が建ち並ぶ駅に近い路線商業地域,-63261.41376,-127566.8818
(県)天竜5-2,浜松市天竜区佐久間町浦川2846番32外,,147,"14,300",-6.5,小規模小売店舗が建ち並ぶ古くからの商業地域,-67210,-104551
(県)天竜5-3,浜松市天竜区水窪町奥領家2581番外,,241,"15,000",選定替,小規模小売店舗が建ち並ぶ古くからの商業地域,-57507,-93114
(県)沼津-1,沼津市米山町508番14,「米山町13−７」,161,"149,000",0.0,中規模一般住宅が建ち並ぶ利便性の良い住宅地域,33146,-98734
(県)沼津-2,沼津市南本郷町556番4,「南本郷町13−20」,204,"118,000",-0.8,中規模一般住宅が多い環境の良い住宅地域,33712.53704,-100896.6052
(県)沼津-3,沼津市志下字南通424番1外,,240,"62,200",-8.3,一般住宅のほかに作業所等が見られる住宅地域,34773,-103995
(県)沼津-4,沼津市下香貫字木ノ宮802番26,,204,"95,200",-3.8,中規模一般住宅、アパート等が混在する住宅地域,34843,-101640
(県)沼津-5,沼津市吉田町679番3,「吉田町33−38」,137,"118,000",-2.5,一般住宅のほかにマンション等が混在する既成住宅地域,33109.81,-100633.5363
(県)沼津-6*,沼津市三枚橋字日ノ出町347番6,,124,"138,000",0.0,中規模一般住宅が多い閑静な住宅地域,33626.05511,-98635.63617
(県)沼津-7,沼津市中瀬町276番,「中瀬町20−15」,196,"105,000",-1.9,一般住宅の建ち並ぶ郊外の区画整然とした住宅地域,34711.83058,-99690.19872
(県)沼津-8,沼津市本字松下850番4,,265,"105,000",-3.7,一般住宅が多い閑静な住宅地域,31918.93124,-100253.9067
(県)沼津-9,沼津市原字東沖1702番44,,211,"93,000",-2.6,中規模の一般住宅が整然と並ぶ住宅地域,27940.55188,-96451.0045
(県)沼津-10,沼津市今沢字西町689番19,,201,"91,500",-2.7,一般住宅等が建ち並ぶ区画整然とした住宅地域,28700.38144,-97271.38969
(県)沼津-11,沼津市寿町929番3,「寿町24−３」,214,"119,000",0.0,一般住宅が多くアパートの混在する住宅地域,32645.72084,-97937.24942
(県)沼津-12,沼津市花園町13番7,,166,"114,000",0.0,一般住宅、マンション、事務所等が混在する地域,33784.29705,-97337.76887
(県)沼津-13,沼津市山王台144番4,「山王台15−５」,208,"135,000",-0.7,一般住宅のほかにマンション等が混在する既成住宅地域,33436,-99559
(県)沼津-14,沼津市西間門字東通274番2外,,220,"111,000",-0.9,一般住宅の中に事務所等が見られる住宅地域,31377.61169,-99491.89322
(県)沼津-15,沼津市駿河台17番17,,198,"99,500",-0.5,中規模一般住宅が多い高台の新興住宅地域,32644.74109,-96608.94273
(県)沼津-16,沼津市小林台8番13外,,192,"94,500",0.0,中規模の一般住宅が多い郊外の区画整理済みの住宅地域,35069.06631,-95896.57354
(県)沼津-17,沼津市井田字上條130番,,274,"15,200",-5.0,一般住宅と民宿が混在する住宅地域,25712.0385,-110934.8681
(県)沼津-18,沼津市戸田字宮脇1574番10外,,322,"31,300",-5.2,一般住宅のほか農地等が見られる住宅地域,26719.97718,-114181.4989
(県)沼津-19,沼津市千本中町41番1,,302,"96,000",-3.0,一般住宅、水産関連の事業所の混在する地域,32496.33368,-101349.1443
(県)沼津-20,沼津市沼北町2丁目1217番5,「沼北町２−14−７」,152,"115,000",0.0,一般住宅、事務所、作業所等が混在する地域,31945.01372,-98107.40599
(県)沼津-21,沼津市多比字着川684番11外,,188,"50,300",-5.1,一般住宅が建ち並ぶ海岸沿いの住宅地域,36799,-105327
(県)沼津-22,沼津市西浦久連字西町615番12,,254,"37,800",-5.5,住宅、民宿が混在する住宅地域,33799.01922,-108594.7135
(県)沼津-23,沼津市大平字池田2874番434,,196,"62,600",-1.9,一般住宅が建ち並ぶ区画整然とした住宅地域,37740.06694,-102813.3629
(県)沼津-24,沼津市一本松字下道505番,,343,"59,500",-2.5,一般住宅等が建ち並ぶ県道沿いの住宅地域,25383.46593,-96394.91617
(県)沼津-25,沼津市石川字前田675番8,,299,"47,300",-2.5,農家住宅、一般住宅、農地等が混在する古くからの住宅地域,25381.84145,-94484.61762
(県)沼津5-1,沼津市原字御殿場891番16,,454,"102,000",-2.9,小売店舗、金融機関、住宅等が混在する県道沿いの商業地域,27138.64205,-96977.96801
(県)沼津5-2,沼津市大手町5丁目71番7外,「大手町５−８−２」,108,"294,000",-3.9,中小規模の小売店舗が建ち並ぶアーケード商店街,32647.48526,-99681.85958
(県)沼津5-3,沼津市大手町5丁目170番,「大手町５−５−３」,308,"267,000",-2.9,中層の店舗等が建ち並ぶ駅に近い商業地域,32683.69711,-99829.02439
(県)沼津5-4,沼津市平町12番3,「平町12−３」,200,"159,000",-2.5,店舗、事務所が多い既成商業地域,33285.87019,-99703.11618
(県)沼津5-5,沼津市三園町768番2,「三園町13−45」,406,"131,000",-1.5,店舗、事務所等が建ち並ぶ路線商業地域,33469.36623,-101021.3797
(県)沼津5-6,沼津市寿町783番3外,「寿町５−５」,363,"145,000",-2.7,中低層の事務所、各種店舗等が建ち並ぶ県道沿いの商業地域,32843,-97836
(県)沼津5-7*,沼津市大手町5丁目57番2外,「大手町５−２−３」,141,"362,000",-4.2,中層の店舗、事務所ビルが建ち並ぶ駅前商業地域,32726.89674,-99630.85256
(県)沼津5-8,沼津市戸田字入浜410番13,,130,"60,800",-5.3,飲食店、民宿等が建ち並ぶ海岸沿いの商業地域,25345,-114179
(県)沼津9-1,沼津市小諏訪字奥内殿909番,,1689,"54,000",-0.9,工場、倉庫、営業所等が混在する工業地域,30822.23868,-98531.725
(県)熱海-1,熱海市伊豆山字堀坂442番6,,172,"55,600",-1.4,中規模一般住宅、アパート等の混在する高台の住宅地域,52795.59268,-98134.04159
(県)熱海-2,熱海市泉元宮上分字寺坂140番5,,228,"45,800",-1.3,高台にある熟成途上の一般住宅地域,53015.45837,-95373.43582
(県)熱海-3*,熱海市桜町1601番18外,「桜町５−23」,223,"68,000",-1.3,中規模一般住宅が多い既成住宅地域,51660.06642,-100981.0173
(県)熱海-4,熱海市西山町601番14,「西山町38−５」,231,"65,500",-1.4,中規模住宅のほかに保養所等が混在する住宅地域,51763.83223,-99397.05207
(県)熱海-5,熱海市青葉町1883番124,「青葉町１−３」,153,"55,800",-1.2,一般住宅のほかに店舗併用住宅が見られる住宅地域,50613.6241,-101100.646
(県)熱海-6,熱海市上多賀字曽根田519番9,,155,"54,500",-0.9,中小規模の一般住宅が多い住宅地域,51853.51978,-103528.617
(県)熱海-7,熱海市下多賀字夕家町383番6,,198,"55,500",-0.9,中小規模の一般住宅が見られる住宅地域,52749.85604,-106197.2085
(県)熱海-8,熱海市伊豆山字上七尾1120番17外,,167,"51,000",-1.5,一般住宅の他、リゾートマンションの進出が多く見られる住宅地域,53092.42574,-97123.7356
(県)熱海5-1,熱海市田原本町184番5,「田原本町４−19」,176,"145,000",0.0,中小規模のホテル、旅館、小売店舗が建ち並ぶ駅に近い商業地域,52499,-99511
(県)熱海5-2*,熱海市銀座町357番5,「銀座町５−９」,81,"140,000",-0.7,名産店、飲食店等が多い温泉街の商業地域,52372,-100119
(県)熱海5-3,熱海市下多賀字砂田433番5外,,365,"64,000",-2.1,店舗・一般住宅・アパートが混在する国道背後の商業地域,53081.42199,-105809.1315
(県)三島-1,三島市藤代町4番3,,201,"99,800",0.0,一般住宅が建ち並ぶ住宅地域,38667.02571,-99057.89074
(県)三島-2*,三島市大宮町2丁目3547番2,「大宮町２−13−15」,171,"153,000",1.3,中規模一般住宅が多い閑静な既存の住宅地域,38276.27556,-97018.50365
(県)三島-3,三島市谷田字品草2313番,,168,"91,000",0.0,中規模一般住宅が建ち並ぶ分譲住宅地域,40011.13336,-98036.0294
(県)三島-4,三島市南町264番58,「南町13−28」,165,"124,000",0.8,一般住宅を中心とし、事務所等も見られる住宅地域,37615.44946,-98536.10833
(県)三島-5,三島市徳倉4丁目724番5,「徳倉４−33−17」,165,"94,500",0.0,一般住宅が建ち並ぶ区画整然とした住宅地域,37593.68491,-94731.8157
(県)三島-6,三島市東本町1丁目702番10,「東本町１−３−27」,167,"140,000",0.7,一般住宅、アパート等が混在する既成の住宅地域,38297.98629,-97981.91057
(県)三島-7,三島市東町884番7,「東町１−12」,236,"140,000",0.7,一般住宅の建ち並ぶ閑静な住宅地域,38520,-97842
(県)三島-8,三島市中田町525番6,「中田町７−27」,159,"139,000",0.7,中規模一般住宅が多い閑静な住宅地域,38018.06592,-98222.21263
(県)三島-9,三島市谷田字梨ノ木山1982番58,,185,"66,800",選定替,一般住宅が建ち並ぶ区画整然とした住宅地域,40498,-98720
(県)三島-10,三島市佐野字下鴛渕436番10,,249,"41,500",0.0,農家住宅が見られる周囲に農地の多い住宅地域,38063,-97886
(県)三島5-1,三島市本町1747番1,「本町３−36」,201,"180,000",-0.6,小売店舗、銀行等が建ち並ぶ高度商業地域,37746.22315,-97601.28148
(県)三島5-2,三島市寿町2635番5外,「寿町９−27」,424,"173,000",0.0,市道沿いに店舗、事務所等が建ち並ぶ商業地域,37187,-97061
(県)三島5-3,三島市北田町1390番2,「北田町６−21」,124,"152,000",0.0,店舗、事務所、マンション等が見られる近隣商業地域,38063,-97886
(県)三島5-4*,三島市一番町2700番6外,「一番町15−21」,347,"299,000",0.0,中層ビル、小売店舗が建ち並ぶ駅前商業地域,37565.1387,-96958.27299
(県)富士宮-1,富士宮市ひばりが丘481番,,173,"58,200",-1.4,一般住宅のほかに店舗等が見られる住宅地域,10791.91903,-84858.6135
(県)富士宮-2,富士宮市源道寺町1387番,,207,"60,700",-1.3,中規模一般住宅が多い鉄道駅に近い住宅地域,11446.90229,-87144.7403
(県)富士宮-3,富士宮市万野原新田字宮五本松4108番14,,194,"38,500",-1.3,中規模一般住宅が多い郊外の閑静な新興住宅地域,10861.24085,-82500.65429
(県)富士宮-4,富士宮市万野原新田字琴平道東3320番24,,202,"49,700",-0.2,中規模一般住宅が建ち並ぶ新興住宅地域,11510,-83156
(県)富士宮-5,富士宮市山本字中戸原463番3,,229,"38,200",-2.1,一般住宅のほかに農地等が見られる住宅地域,11412.16186,-88333.03691
(県)富士宮-6,富士宮市外神東町155番9,,263,"42,500",-1.2,中規模一般住宅が多い区画整然とした住宅地域,9977.40425,-82377.33493
(県)富士宮-7,富士宮市淀川町25番11,「淀川町11−12」,202,"58,800",-1.0,中規模一般住宅が建ち並ぶ区画整理済みの住宅地域,9269,-85091
(県)富士宮-8,富士宮市舞々木町579番,,201,"53,200",-1.1,中小規模一般住宅が建ち並ぶ住宅地域,11326.15387,-84243.47739
(県)富士宮-9,富士宮市矢立町474番,,202,"65,200",-0.8,中規模一般住宅が多い利便性の良い住宅地域,11213.81948,-85987.19189
(県)富士宮-10,富士宮市宮原字中本村375番15,,166,"49,000",-1.0,一般住宅のほか、空地等が見られる郊外の住宅地域,10121.90035,-83365.47576
(県)富士宮-11,富士宮市小泉字寺ノ後1638番194,,200,"45,500",-1.5,一般住宅のほかアパート、農地等が見られる住宅地域,12561,-85625
(県)富士宮-12,富士宮市小泉字荻間591番9,,184,"54,400",-0.5,一般住宅のほかに空地等が見られる住宅地域,12228.02537,-86972.97262
(県)富士宮-13*,富士宮市若の宮町812番,,251,"67,500",-1.5,中規模一般住宅が多い既成の住宅地域,10647.11439,-85622.0725
(県)富士宮-14,富士宮市大中里字甲石857番4,,161,"43,800",-1.8,一般住宅の中に畑等が多く見られる住宅地域,8744.653299,-86211.66109
(県)富士宮-15,富士宮市野中字中村989番11,,183,"48,500",-1.4,一般住宅の中に農地等も見られる住宅地域,10039,-87212
(県)富士宮-16,富士宮市富士見ケ丘846番,,212,"54,200",-1.3,戸建住宅を中心に市営住宅等が介在する住宅地域,11247.10362,-84997.74303
(県)富士宮-17,富士宮市沼久保字西谷外678番1,,483,"19,900",-3.9,農家住宅が建ち並ぶ古くからの住宅地域,8407.458564,-88823.32453
(県)富士宮-18,富士宮市村山字横沢1001番3,,338,"15,600",-2.5,農家住宅が散在する山間の住宅地域,14781.49111,-82938.76599
(県)富士宮-19,富士宮市北山字堀久保4367番4,,221,"22,400",-2.6,周辺に農地の目立つ一般住宅と農家の混在地域,10016.68697,-79397.74073
(県)富士宮-20,富士宮市小泉字大辻2494番12外,,165,"30,500",-2.6,周囲には空地も多く見られる分譲住宅地域,13328.72386,-85489.58694
(県)富士宮-21,富士宮市外神字久保1799番38,,330,"25,800",-2.6,農家住宅、一般住宅が散在する農地の多い住宅地域,8921,-81916
(県)富士宮-22,富士宮市青木字東谷戸384番2,,213,"35,800",-2.5,一般住宅が見られる農地等の多い住宅地域,8461.233022,-83769.50486
(県)富士宮-23,富士宮市下条字堀之内710番6,,372,"24,000",選定替,中規模一般住宅と農家住宅が混在する住宅地域,7054,-81168
(県)富士宮-24,富士宮市羽鮒字松林774番10,,200,"24,000",-2.0,中規模一般住宅が建ち並ぶ分譲住宅地域,6339.140697,-88348.64358
(県)富士宮-25,富士宮市内房字落合3890番11,,267,"20,200",-2.4,中規模一般住宅が多い分譲住宅地域,4664.132052,-89381.86425
(県)富士宮-26,富士宮市上稲子字赤丸3944番2,,367,"8,200",-2.4,在来の農家住宅を中心に小売店舗も介在する国道沿いの集落地域,2990.78123,-82816.28844
(県)富士宮5-1,富士宮市大宮町162番4,「大宮町13−６」,134,"83,700",-2.7,小売店舗が建ち並ぶ繁華な商業地域,10337,-86108
(県)富士宮5-2,富士宮市ひばりが丘691番外,,988,"61,200",-2.1,自動車関連の営業所や郊外型店舗が混在する国道沿いの商業地域,10957.00807,-84999.23947
(県)富士宮5-3,富士宮市西町643番15,「西町７−６」,143,"63,200",-2.0,小売店舗、一般住宅が混在する既成商業地域,9606,-85682
(県)富士宮5-4,富士宮市錦町1621番16外,「錦町２−14」,141,"73,500",-2.0,店舗、事務所、一般住宅が混在する駅南の商業地域,10434.67978,-86571.20482
(県)富士宮5-5*,富士宮市中央町150番5外,「中央町４−９」,254,"98,000",-2.0,中規模の小売店舗が多い駅前の中心的商業地域,10426.35424,-86215.08624
(県)富士宮9-1,富士宮市小泉字前田843番1,,2200,"30,800",0.0,中小規模の工場、倉庫、一般住宅等が混在する工業地域,11847.57243,-87408.00004
(県)富士宮9-2,富士宮市山宮字下蒲沢2260番3外,,1472,"28,100",-0.7,小規模工場、一般住宅等の混在する地域,10649.42155,-81488.10539
(県)伊東-1,伊東市八幡野字上道1194番26,,168,"37,500",-0.8,一般住宅のほかアパ−ト等も見られる住宅地域,55112.12727,-124278.6715
(県)伊東-2,伊東市川奈字奥水無田1182番331外,,235,"49,000",-1.0,中規模一般住宅が建ち並ぶ分譲住宅地域,56632,-116441
(県)伊東-3,伊東市富戸字先原1317番3819,,334,"20,100",0.0,別荘、保養所が多い眺望に優れる別荘地域,55673.60762,-121759.0827
(県)伊東5-1,伊東市湯川1丁目127番2,「湯川１−16−12」,94,"140,000",-0.7,名産店、飲食店等が多い駅前の商業地域,54110,-113665
(県)伊東5-2,伊東市竹の内2丁目91番16外,「竹の内２−６−３」,241,"78,500",-0.6,小売店舗が建ち並ぶ既成商業地域,54650.08683,-114287.784
(県)伊東5-3,伊東市弥生町524番7,「弥生町３−２」,96,"88,100",-0.9,小売店舗、飲食店等が連たんする商業地域,54055.84107,-114589.9218
(県)伊東5-4,伊東市桜ガ丘1丁目157番2,「桜ガ丘１−２−５」,273,"84,200",-0.9,小売店舗が多い駅近くの路線商業地域,53809.03771,-115480.0589
(県)伊東5-5,伊東市宇佐美字大境1814番14外,,137,"86,200",-1.5,小売店舗が建ち並ぶ駅前の商業地域,53026.34473,-110127.5926
(県)島田-1,島田市阿知ヶ谷字町下130番6外,,167,"59,000",0.0,中小規模一般住宅の中に、空地等が見られる既成住宅地域,-27118.76711,-128830.1599
(県)島田-2*,島田市中央町4番3,,128,"79,500",-1.9,一般住宅が多く見られる市役所に近い住宅地域,-29778.02542,-128945.9366
(県)島田-3,島田市横井3丁目5061番7,「横井３−12−14」,165,"74,200",-0.4,一般住宅が多い既成住宅地域,-30099.17309,-129997.0121
(県)島田-4,島田市井口599番,,216,"41,100",-2.1,一般住宅と農家住宅等が混在する周囲に農地の多い住宅地域,-25076.14931,-132596.5672
(県)島田-5,島田市向谷元町1117番24,,166,"57,700",-1.7,中小規模一般住宅が多い郊外の分譲住宅地域,-31542.95063,-128268.3034
(県)島田-6,島田市道悦3丁目221番,「道悦３−18−23」,268,"69,800",0.0,中規模一般住宅が多い区画整理済の住宅地域,-26988,-129482
(県)島田-7,島田市金谷栄町3224番外,,195,"56,100",-2.4,中規模住宅が多い土地区画整理済みの新興住宅地域,-33891.69491,-129468.4018
(県)島田-8,島田市金谷天王町1737番6,,171,"47,500",-4.6,一般住宅の中に空地、アパート等が見られる住宅地域,-33386.28344,-130765.4383
(県)島田-9,島田市川根町家山字八幡前1080番6外,,384,"27,800",-3.5,一般住宅、農家住宅の混在する住宅地域,-39240,-117321
(県)島田-10,島田市川根町抜里字向海戸497番2,,236,"15,400",-3.1,国道沿いの既存住宅を主に店舗等も見られる住宅地域,-38232,-115915
(県)島田-11,島田市御仮屋町7561番4外,,230,"66,500",選定替,一般住宅の中にアパート、事務所等が見られる住宅地域,-28454,-129419
(県)島田5-1,島田市本通7丁目8406番1,,152,"73,700",-2.0,低層小売店舗等が建ち並ぶ既成商業地域,-29147,-129485
(県)島田5-2,島田市本通2丁目4番4,,201,"96,600",-1.9,中小規模小売店舗が建ち並ぶ駅に近い商業地域,-29839.32935,-129437.9508
(県)島田5-3,島田市金谷扇町397番1,,367,"56,600",-2.4,低層の店舗併用住宅が見られる県道沿いの商業地域,-33568.95663,-129985.6222
(県)島田5-4,島田市川根町家山字市場650番9,,156,"40,500",-4.7,小売店舗を中心とする古くからの商業地域,-38748.92452,-117282.4128
(県)島田9-1,島田市東町2093番1,,1156,"32,700",-0.6,中小規模工場が建ち並ぶ内陸型の工業団地,-25308,-129734
(県)富士-1,富士市宮島字大崎816番15,,178,"67,300",-2.5,一般住宅のほかにアパート等も見られる住宅地域,14410.98362,-95989.54513
(県)富士-2,富士市松本字砂田31番20,,148,"78,200",0.0,一般住宅が建ち並ぶ既成住宅地域,13754.86204,-92343.40666
(県)富士-3,富士市厚原字八笠1896番61,,202,"57,900",-0.5,中規模一般住宅が多い郊外の新興住宅地域,14898.72711,-89369.35742
(県)富士-4,富士市岩本字滝戸362番5,,225,"59,700",-0.5,一般住宅のほかにアパート等が見られる住宅地域,12929.23827,-90841.2642
(県)富士-5,富士市川成新町190番外,,257,"82,000",-3.5,中規模一般住宅のほかに空地等も見られる区画整理済の住宅地域,14978.51482,-95987.23925
(県)富士-6,富士市伝法字土手上7番19,,179,"65,500",-0.5,中規模一般住宅が多い新興住宅地域,16164.45482,-89922.3465
(県)富士-7,富士市大渕字荻ノ原95番52外,,281,"48,600",-1.2,一般住宅の中に空地等が見られる高台の住宅地域,17536.44861,-89434.95162
(県)富士-8,富士市神戸字寺下659番10,,198,"52,400",-1.7,一般住宅、農家住宅が混在する新興住宅地域,19401.99289,-89905.60314
(県)富士-9*,富士市国久保1丁目2111番8外,「国久保１−７−５」,211,"74,900",-0.4,中規模一般住宅が多い利便性の良い住宅地域,16781,-91968
(県)富士-10,富士市宇東川東町167番24,「宇東川東町６−22」,245,"66,000",-0.8,中規模一般住宅の建ち並ぶ既成住宅地域,18641.27797,-92309.18812
(県)富士-11,富士市青葉町420番外,,249,"117,000",0.0,中規模一般住宅が多い区画整理済の住宅地域,14595.75049,-92987.16624
(県)富士-12,富士市瓜島町155番,,265,"97,000",0.0,一般住宅を中心に共同住宅や事務所も見られる住宅地域,15850.4095,-92736.2301
(県)富士-13,富士市厚原字長沢343番26外,,173,"62,300",-0.8,一般住宅の中に社会福祉施設等が見られる住宅地域,14321.96307,-91045.01168
(県)富士-14,富士市中里字新屋敷1085番3,,158,"60,300",-0.3,一般住宅、農家住宅が混在する郊外の住宅地域,21633.81148,-92722.54423
(県)富士-15,富士市増川新町46番,,186,"68,200",-0.4,一般住宅のほかアパート等が建ち並ぶ区画整理済みの住宅地域,22278,-93384
(県)富士-16,富士市久沢字峯畑894番3,,171,"60,300",-1.1,一般住宅、アパート等が混在する住宅地域,13622.89168,-88870.7492
(県)富士-17,富士市桧新田字居村下197番1,,187,"43,300",-3.8,一般住宅のほか農地も見られる住宅地域,21006.2556,-95553.40143
(県)富士-18,富士市松岡字富島1388番165,,198,"74,300",0.0,一般住宅が建ち並ぶほか、空地等も見られる住宅地域,12810.9143,-94619.28043
(県)富士-19,富士市三ツ沢字中木添92番11,,165,"54,200",-1.5,一般住宅を中心にアパート、農地等が介在する住宅地域,18643,-90906
(県)富士-20,富士市厚原字横道下1387番12,,247,"69,600",-0.3,一般住宅、アパート等が混在する住宅地域,14188.82452,-89537.05217
(県)富士-21,富士市宮下字大道下304番3,,168,"69,500",-1.4,一般住宅のほか農地が見られる住宅地域,13073,-95703
(県)富士-22,富士市宮島字十兵衛河原102番11,,253,"73,500",-1.3,中規模一般住宅が建ち並ぶ住宅地域,13910,-95255
(県)富士-23,富士市天間字代山1461番26,,175,"60,800",-1.1,中小規模一般住宅が多い高台の新興住宅地域,13203.58847,-88658.22419
(県)富士-24,富士市松岡字新町1015番16外,,165,"70,300",-0.7,中規模一般住宅が多い郊外の閑静な住宅地域,12022.90144,-92910.48727
(県)富士-25,富士市中島字天神川原378番18,,132,"99,700",-0.3,一般住宅が建ち並ぶ県道背後の住宅地域,13933.25898,-92956.68548
(県)富士-26,富士市柚木字河原49番11外,,165,"84,200",-0.5,一般住宅のほか農地も見られる住宅地域,13173,-92990
(県)富士-27,富士市松岡字六軒屋上1192番15,,160,"79,200",0.0,一般住宅、アパート等が混在する住宅地域,12824.91057,-93867.66165
(県)富士-28,富士市荒田島町80番外,「荒田島町６−８」,222,"87,300",-0.8,一般住宅が多い区画整然とした住宅地域,16838.13012,-93540.43866
(県)富士-29,富士市中之郷字新町3659番5,,165,"57,500",-2.0,一般住宅の中に寺院等が見られる住宅地域,10518.11258,-94988.30641
